PassengerId,Survived,Pclass,Age,SibSp,Parch,Fare,Sex_male
1,0,3,22.0,1,0,7.25,True
2,1,1,38.0,1,0,71.2833,False
3,1,3,26.0,0,0,7.925,False
4,1,1,35.0,1,0,53.1,False
5,0,3,35.0,0,0,8.05,True
6,0,3,28.0,0,0,8.4583,True
7,0,1,54.0,0,0,51.8625,True
8,0,3,2.0,3,1,21.075,True
9,1,3,27.0,0,2,11.1333,False
10,1,2,14.0,1,0,30.0708,False
11,1,3,4.0,1,1,16.7,False
12,1,1,58.0,0,0,26.55,False
13,0,3,20.0,0,0,8.05,True
14,0,3,39.0,1,5,31.275,True
15,0,3,14.0,0,0,7.8542,False
16,1,2,55.0,0,0,16.0,False
17,0,3,2.0,4,1,29.125,True
18,1,2,28.0,0,0,13.0,True
19,0,3,31.0,1,0,18.0,False
20,1,3,28.0,0,0,7.225,False
21,0,2,35.0,0,0,26.0,True
22,1,2,34.0,0,0,13.0,True
23,1,3,15.0,0,0,8.0292,False
24,1,1,28.0,0,0,35.5,True
25,0,3,8.0,3,1,21.075,False
26,1,3,38.0,1,5,31.3875,False
27,0,3,28.0,0,0,7.225,True
28,0,1,19.0,3,2,263.0,True
29,1,3,28.0,0,0,7.8792,False
30,0,3,28.0,0,0,7.8958,True
31,0,1,40.0,0,0,27.7208,True
32,1,1,28.0,1,0,146.5208,False
33,1,3,28.0,0,0,7.75,False
34,0,2,66.0,0,0,10.5,True
35,0,1,28.0,1,0,82.1708,True
36,0,1,42.0,1,0,52.0,True
37,1,3,28.0,0,0,7.2292,True
38,0,3,21.0,0,0,8.05,True
39,0,3,18.0,2,0,18.0,False
40,1,3,14.0,1,0,11.2417,False
41,0,3,40.0,1,0,9.475,False
42,0,2,27.0,1,0,21.0,False
43,0,3,28.0,0,0,7.8958,True
44,1,2,3.0,1,2,41.5792,False
45,1,3,19.0,0,0,7.8792,False
46,0,3,28.0,0,0,8.05,True
47,0,3,28.0,1,0,15.5,True
48,1,3,28.0,0,0,7.75,False
49,0,3,28.0,2,0,21.6792,True
50,0,3,18.0,1,0,17.8,False
51,0,3,7.0,4,1,39.6875,True
52,0,3,21.0,0,0,7.8,True
53,1,1,49.0,1,0,76.7292,False
54,1,2,29.0,1,0,26.0,False
55,0,1,65.0,0,1,61.9792,True
56,1,1,28.0,0,0,35.5,True
57,1,2,21.0,0,0,10.5,False
58,0,3,28.5,0,0,7.2292,True
59,1,2,5.0,1,2,27.75,False
60,0,3,11.0,5,2,46.9,True
61,0,3,22.0,0,0,7.2292,True
62,1,1,38.0,0,0,80.0,False
63,0,1,45.0,1,0,83.475,True
64,0,3,4.0,3,2,27.9,True
65,0,1,28.0,0,0,27.7208,True
66,1,3,28.0,1,1,15.2458,True
67,1,2,29.0,0,0,10.5,False
68,0,3,19.0,0,0,8.1583,True
69,1,3,17.0,4,2,7.925,False
70,0,3,26.0,2,0,8.6625,True
71,0,2,32.0,0,0,10.5,True
72,0,3,16.0,5,2,46.9,False
73,0,2,21.0,0,0,73.5,True
74,0,3,26.0,1,0,14.4542,True
75,1,3,32.0,0,0,56.4958,True
76,0,3,25.0,0,0,7.65,True
77,0,3,28.0,0,0,7.8958,True
78,0,3,28.0,0,0,8.05,True
79,1,2,0.83,0,2,29.0,True
80,1,3,30.0,0,0,12.475,False
81,0,3,22.0,0,0,9.0,True
82,1,3,29.0,0,0,9.5,True
83,1,3,28.0,0,0,7.7875,False
84,0,1,28.0,0,0,47.1,True
85,1,2,17.0,0,0,10.5,False
86,1,3,33.0,3,0,15.85,False
87,0,3,16.0,1,3,34.375,True
88,0,3,28.0,0,0,8.05,True
89,1,1,23.0,3,2,263.0,False
90,0,3,24.0,0,0,8.05,True
91,0,3,29.0,0,0,8.05,True
92,0,3,20.0,0,0,7.8542,True
93,0,1,46.0,1,0,61.175,True
94,0,3,26.0,1,2,20.575,True
95,0,3,59.0,0,0,7.25,True
96,0,3,28.0,0,0,8.05,True
97,0,1,71.0,0,0,34.6542,True
98,1,1,23.0,0,1,63.3583,True
99,1,2,34.0,0,1,23.0,False
100,0,2,34.0,1,0,26.0,True
101,0,3,28.0,0,0,7.8958,False
102,0,3,28.0,0,0,7.8958,True
103,0,1,21.0,0,1,77.2875,True
104,0,3,33.0,0,0,8.6542,True
105,0,3,37.0,2,0,7.925,True
106,0,3,28.0,0,0,7.8958,True
107,1,3,21.0,0,0,7.65,False
108,1,3,28.0,0,0,7.775,True
109,0,3,38.0,0,0,7.8958,True
110,1,3,28.0,1,0,24.15,False
111,0,1,47.0,0,0,52.0,True
112,0,3,14.5,1,0,14.4542,False
113,0,3,22.0,0,0,8.05,True
114,0,3,20.0,1,0,9.825,False
115,0,3,17.0,0,0,14.4583,False
116,0,3,21.0,0,0,7.925,True
117,0,3,70.5,0,0,7.75,True
118,0,2,29.0,1,0,21.0,True
119,0,1,24.0,0,1,247.5208,True
120,0,3,2.0,4,2,31.275,False
121,0,2,21.0,2,0,73.5,True
122,0,3,28.0,0,0,8.05,True
